long,lat,red,green,blue
35.425,-11.7187,38,31,33
35.45,-11.7187,39,29,32
35.475,-11.7187,42,28,30
35.025,-11.6812,33,32,36
35.4,-11.6812,43,28,29
35.425,-11.6812,39,31,33
35.45,-11.6812,42,29,30
35.65,-11.6812,44,28,28
35.025,-11.643699999999999,32,31,37
35.475,-11.643699999999999,42,30,31
35.55,-11.643699999999999,44,30,31
35.65,-11.643699999999999,46,28,28
35.675,-11.643699999999999,45,29,29
34.925,-11.6062,30,30,40
35,-11.6062,32,32,39
35.025,-11.6062,30,30,41
35.375,-11.6062,50,24,26
35.4,-11.6062,45,28,30
35.425,-11.6062,44,28,30
35.45,-11.6062,44,29,32
35.475,-11.6062,46,28,30
35.5,-11.6062,50,24,26
35.55,-11.6062,44,31,32
35.575,-11.6062,46,28,29
34.975,-11.5687,33,33,39
35,-11.5687,33,33,39
35.175,-11.5687,43,28,31
35.2,-11.5687,46,27,29
35.375,-11.5687,45,29,31
35.4,-11.5687,50,25,25
35.425,-11.5687,48,27,27
35.475,-11.5687,51,25,27
35.55,-11.5687,48,28,28
35.575,-11.5687,52,24,24
35.725,-11.5687,53,24,24
34.875,-11.5312,33,33,38
34.9,-11.5312,34,34,40
34.975,-11.5312,35,35,40
35,-11.5312,33,33,40
35.025,-11.5312,28,28,47
35.075,-11.5312,32,27,41
35.1,-11.5312,38,28,36
35.125,-11.5312,40,27,33
35.15,-11.5312,43,28,31
35.175,-11.5312,46,27,30
35.2,-11.5312,47,26,29
35.375,-11.5312,47,28,30
35.4,-11.5312,49,26,28
35.425,-11.5312,52,25,26
35.45,-11.5312,47,30,31
35.475,-11.5312,45,31,34
35.5,-11.5312,44,32,33
35.55,-11.5312,51,28,29
35.575,-11.5312,56,23,24
35.65,-11.5312,56,23,23
35.675,-11.5312,55,23,23
34.825,-11.4937,32,32,40
34.875,-11.4937,31,31,41
34.9,-11.4937,34,34,40
34.925,-11.4937,35,35,40
34.975,-11.4937,36,36,41
35,-11.4937,34,34,41
35.025,-11.4937,32,31,43
35.05,-11.4937,34,30,39
35.075,-11.4937,37,30,37
35.1,-11.4937,42,30,35
35.125,-11.4937,43,31,34
35.15,-11.4937,44,29,33
35.175,-11.4937,42,28,32
35.2,-11.4937,49,26,29
35.25,-11.4937,52,23,25
35.275,-11.4937,53,22,25
35.325,-11.4937,57,20,23
35.375,-11.4937,48,29,31
35.4,-11.4937,52,27,29
35.425,-11.4937,55,23,25
35.45,-11.4937,47,31,32
35.475,-11.4937,49,27,29
35.5,-11.4937,56,22,23
35.625,-11.4937,58,21,21
35.65,-11.4937,55,25,25
35.675,-11.4937,56,23,23
34.9,-11.456199999999999,32,32,43
